,favorite_count,tweet_id,retweet_count,date,weekday
0,18504,876484053909872640,2367,2017-06-18 16:57:37,Sun
1,20868,886366144734445568,3145,2017-07-15 23:25:31,Sat
2,0,877611172832227328,80,2017-06-21 19:36:23,Wed
3,21420,888078434458587136,3436,2017-07-20 16:49:33,Thu
4,41497,891689557279858688,8496,2017-07-30 15:58:51,Sun
5,23076,879492040517615616,3139,2017-06-27 00:10:17,Tue
6,29826,878604707211726852,7097,2017-06-24 13:24:20,Sat
7,307,879674319642796034,10,2017-06-27 12:14:36,Tue
8,27499,884876753390489601,5549,2017-07-11 20:47:12,Tue
9,23599,882992080364220416,3859,2017-07-06 15:58:11,Thu
10,27525,876120275196170240,4636,2017-06-17 16:52:05,Sat
11,27360,889880896479866881,4888,2017-07-25 16:11:53,Tue
12,20118,885518971528720385,3697,2017-07-13 15:19:09,Thu
13,21986,879862464715927552,3444,2017-06-28 00:42:13,Wed
14,22400,877556246731214848,3758,2017-06-21 15:58:08,Wed
15,11641,890971913173991426,2028,2017-07-28 16:27:12,Fri
16,30197,890006608113172480,7205,2017-07-26 00:31:25,Wed
17,23910,873580283840344065,3910,2017-06-10 16:39:04,Sat
18,16758,880935762899988482,2740,2017-06-30 23:47:07,Fri
19,24638,891815181378084864,4082,2017-07-31 00:18:03,Mon
20,26745,877201837425926144,5515,2017-06-20 16:29:50,Tue
21,116,886267009285017600,4,2017-07-15 16:51:35,Sat
22,0,873337748698140672,1573,2017-06-10 00:35:19,Sat
23,24849,875747767867523072,4244,2017-06-16 16:11:53,Fri
24,24858,889278841981685760,5280,2017-07-24 00:19:32,Mon
25,104294,879415818425184262,43573,2017-06-26 19:07:24,Mon
26,44285,882268110199369728,11410,2017-07-04 16:01:23,Tue
27,28092,880465832366813184,6174,2017-06-29 16:39:47,Thu
28,30097,887101392804085760,5865,2017-07-18 00:07:08,Tue
29,20052,884162670584377345,2940,2017-07-09 21:29:42,Sun
30,16532,879376492567855104,3071,2017-06-26 16:31:08,Mon
31,22360,874057562936811520,3918,2017-06-12 00:15:36,Mon
32,21625,875144289856114688,4871,2017-06-15 00:13:52,Thu
33,35427,885528943205470208,6321,2017-07-13 15:58:47,Thu
34,19126,878776093423087618,4072,2017-06-25 00:45:22,Sun
35,20953,880872448815771648,3754,2017-06-30 19:35:32,Fri
36,32154,885984800019947520,6675,2017-07-14 22:10:11,Fri
37,0,874434818259525634,14584,2017-06-13 01:14:41,Tue
38,124,881633300179243008,7,2017-07-02 21:58:53,Sun
39,45206,883482846933004288,9784,2017-07-08 00:28:19,Sat
40,23933,884562892145688576,4647,2017-07-11 00:00:02,Tue
41,47370,889665388333682689,9876,2017-07-25 01:55:32,Tue
42,27464,874680097055178752,4597,2017-06-13 17:29:20,Tue
43,68004,887473957103951883,17854,2017-07-19 00:47:34,Wed
44,32729,892177421306343426,6171,2017-08-01 00:17:27,Tue
45,26576,884441805382717440,5559,2017-07-10 15:58:53,Mon
46,7144,873213775632977920,1573,2017-06-09 16:22:42,Fri
47,31414,890240255349198849,7253,2017-07-26 15:59:51,Wed
48,22743,881268444196462592,5090,2017-07-01 21:49:04,Sat
49,19920,891087950875897856,3058,2017-07-29 00:08:17,Sat
50,0,879130579576475649,6725,2017-06-26 00:13:58,Mon
51,22091,886680336477933568,4388,2017-07-16 20:14:00,Sun
52,7635,878281511006478336,1270,2017-06-23 16:00:04,Fri
53,0,878404777348136964,1270,2017-06-24 00:09:53,Sat
54,0,886054160059072513,105,2017-07-15 02:45:48,Sat
55,28651,888917238123831296,4415,2017-07-23 00:22:39,Sun
56,64390,890729181411237888,18532,2017-07-28 00:22:40,Fri
57,48695,881536004380872706,15694,2017-07-02 15:32:16,Sun
58,27047,872967104147763200,5366,2017-06-09 00:02:31,Fri
59,33159,887343217045368832,10226,2017-07-18 16:08:03,Tue
60,0,885311592912609280,18250,2017-07-13 01:35:06,Thu
61,26987,877316821321428993,5104,2017-06-21 00:06:44,Wed
62,21582,885167619883638784,4304,2017-07-12 16:03:00,Wed
63,26741,889638837579907072,4466,2017-07-25 00:10:02,Tue
64,20397,876838120628539392,3301,2017-06-19 16:24:33,Mon
65,22224,879050749262655488,4650,2017-06-25 18:56:45,Sun
66,38164,892420643555336193,8351,2017-08-01 16:23:56,Tue
67,34605,886983233522544640,7633,2017-07-17 16:17:36,Mon
68,23180,876537666061221889,4574,2017-06-18 20:30:39,Sun
69,78645,877736472329191424,18826,2017-06-22 03:54:17,Thu
70,25725,874296783580663808,4069,2017-06-12 16:06:11,Mon
71,34155,874012996292530176,10319,2017-06-11 21:18:31,Sun
